season,njcaa_season,njcaa_division,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SF,SH,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,BAbip,ISO,RS%,HR%,K%,BB%,K-BB%,BB/K
2013,2012-13,div1,287111.0,243830.0,46998.0,71721.0,12594.0,2115.0,2961.0,40838.0,11692.0,3029.0,27967.0,43648.0,97413.0,7943.0,2782.0,4589.0,17670.0,1163.0,17488.0,16618.0,1.052,0.294,0.375,0.472,0.847,0.344,0.078,0.421,0.01,0.152,0.097,0.055,0.641
2013,2012-13,div2,188469.0,158705.0,31518.0,46489.0,7869.0,1272.0,1557.0,26526.0,8366.0,2047.0,19809.0,27502.0,61541.0,5200.0,1801.0,2954.0,10698.0,516.0,9060.0,8684.0,1.043,0.293,0.379,0.455,0.8340000000000001,0.342,0.074,0.428,0.008,0.146,0.105,0.041,0.72
2013,2012-13,div3,89335.0,75859.0,15854.0,22820.0,3821.0,673.0,552.0,13295.0,4481.0,813.0,9261.0,13285.0,29629.0,2118.0,754.0,1343.0,5046.0,51.0,3424.0,3235.0,1.058,0.301,0.383,0.457,0.8400000000000001,0.355,0.077,0.455,0.006,0.149,0.104,0.045,0.697
2014,2013-14,div1,318913.0,271234.0,52792.0,80266.0,14148.0,2297.0,3707.0,45763.0,12070.0,3226.0,30953.0,49528.0,110107.0,8613.0,3263.0,4850.0,20152.0,936.0,20042.0,18799.0,1.066,0.296,0.376,0.48,0.856,0.346,0.078,0.423,0.012,0.155,0.097,0.058,0.625
2014,2013-14,div2,194144.0,163990.0,33494.0,48992.0,8620.0,1432.0,1914.0,27930.0,8676.0,2174.0,19780.0,28842.0,66170.0,5377.0,1898.0,3099.0,11966.0,347.0,9715.0,9194.0,1.057,0.299,0.382,0.477,0.859,0.348,0.079,0.437,0.01,0.149,0.102,0.047,0.686
2014,2013-14,div3,90448.0,76729.0,16079.0,23003.0,4008.0,672.0,645.0,13336.0,4289.0,895.0,9310.0,13931.0,30281.0,2333.0,759.0,1317.0,5325.0,66.0,4424.0,3863.0,1.145,0.3,0.383,0.464,0.847,0.355,0.079,0.454,0.007,0.154,0.103,0.051,0.668
2015,2014-15,div1,314154.0,266824.0,52839.0,79652.0,14247.0,2243.0,4338.0,46192.0,11421.0,3244.0,31586.0,49846.0,111373.0,7951.0,3138.0,4655.0,20828.0,2820.0,18239.0,17000.0,1.073,0.299,0.379,0.496,0.875,0.349,0.079,0.422,0.014,0.159,0.101,0.058,0.634
2015,2014-15,div2,202493.0,171522.0,36154.0,52096.0,9448.0,1571.0,2503.0,30742.0,9117.0,2291.0,20984.0,31044.0,72176.0,5328.0,1942.0,2717.0,13522.0,1409.0,7821.0,7229.0,1.082,0.304,0.387,0.5,0.887,0.354,0.083,0.443,0.012,0.153,0.104,0.049,0.676
2015,2014-15,div3,94238.0,80032.0,16708.0,24224.0,4300.0,632.0,839.0,13871.0,4306.0,869.0,9692.0,14496.0,32297.0,2388.0,738.0,1388.0,5771.0,479.0,4075.0,3632.0,1.122,0.303,0.385,0.476,0.861,0.357,0.077,0.447,0.009,0.154,0.103,0.051,0.669
2016,2015-16,div1,338316.0,285540.0,63295.0,88099.0,16610.0,2597.0,6890.0,55228.0,12236.0,3345.0,36070.0,57998.0,130553.0,9341.0,3179.0,4186.0,26097.0,2913.0,19469.0,17423.0,1.117,0.309,0.395,0.549,0.9440000000000001,0.363,0.085,0.445,0.02,0.171,0.107,0.064,0.622
2016,2015-16,div2,215117.0,180556.0,40773.0,54893.0,10230.0,1774.0,3440.0,34711.0,9441.0,2252.0,24117.0,36397.0,78978.0,5931.0,1999.0,2514.0,15444.0,1272.0,7196.0,6263.0,1.149,0.304,0.395,0.523,0.918,0.361,0.086,0.458,0.016,0.169,0.112,0.057,0.663
2016,2015-16,div3,106200.0,89660.0,19663.0,27394.0,5100.0,847.0,1217.0,16550.0,5099.0,1053.0,11624.0,17505.0,37814.0,2540.0,861.0,1515.0,7164.0,605.0,4283.0,4040.0,1.06,0.306,0.391,0.502,0.893,0.365,0.085,0.457,0.011,0.165,0.109,0.056,0.664
2017,2016-17,div1,332064.0,279408.0,60105.0,84159.0,15662.0,2430.0,6570.0,52530.0,12262.0,3271.0,36096.0,58874.0,124375.0,9456.0,3111.0,3993.0,24662.0,2505.0,16629.0,16327.0,1.018,0.301,0.391,0.533,0.924,0.357,0.082,0.435,0.02,0.177,0.109,0.068,0.613
2017,2016-17,div2,204978.0,171245.0,38349.0,51609.0,9934.0,1494.0,3525.0,32844.0,8610.0,2177.0,23549.0,35336.0,75089.0,6251.0,1802.0,2131.0,14953.0,1433.0,8342.0,8648.0,0.965,0.301,0.397,0.526,0.923,0.358,0.084,0.447,0.017,0.172,0.115,0.057,0.666
2017,2016-17,div3,118852.0,99741.0,22295.0,30356.0,5673.0,953.0,1389.0,18679.0,5356.0,1093.0,13428.0,19593.0,42097.0,3169.0,1005.0,1509.0,8015.0,658.0,5880.0,5791.0,1.015,0.304,0.395,0.502,0.897,0.363,0.086,0.459,0.012,0.165,0.113,0.052,0.685
2018,2017-18,div1,326305.0,272810.0,62611.0,82915.0,15888.0,2588.0,7139.0,54737.0,12493.0,3113.0,37257.0,60538.0,125359.0,9708.0,3238.0,3292.0,25615.0,2541.0,16064.0,16687.0,0.963,0.304,0.398,0.554,0.9520000000000001,0.364,0.087,0.452,0.022,0.186,0.114,0.072,0.615
2018,2017-18,div2,210182.0,174694.0,40733.0,52750.0,10202.0,1659.0,3913.0,34777.0,9506.0,2336.0,25115.0,38065.0,77983.0,6469.0,1964.0,1940.0,15774.0,1255.0,8708.0,8995.0,0.968,0.302,0.401,0.537,0.9380000000000001,0.363,0.087,0.458,0.019,0.181,0.119,0.062,0.66
2018,2017-18,div3,119631.0,100062.0,23400.0,30865.0,5797.0,962.0,1597.0,19787.0,5385.0,1118.0,13984.0,20637.0,43344.0,3410.0,938.0,1237.0,8356.0,676.0,5323.0,4959.0,1.073,0.308,0.403,0.517,0.92,0.372,0.087,0.467,0.013,0.173,0.117,0.056,0.678
2019,2018-19,div1,321325.0,267255.0,58055.0,78218.0,15146.0,2416.0,5961.0,50261.0,13613.0,3374.0,37904.0,61656.0,116066.0,10074.0,3201.0,2891.0,23523.0,2283.0,14732.0,16091.0,0.916,0.293,0.393,0.522,0.915,0.356,0.084,0.433,0.019,0.192,0.118,0.074,0.615
2019,2018-19,div2,204432.0,168585.0,38610.0,49858.0,9530.0,1514.0,3432.0,32820.0,9505.0,2240.0,25251.0,37348.0,72698.0,6741.0,2041.0,1814.0,14476.0,1333.0,8874.0,9496.0,0.934,0.296,0.4,0.517,0.917,0.358,0.083,0.449,0.017,0.183,0.124,0.059,0.676
2019,2018-19,div3,120520.0,99911.0,23134.0,30227.0,5828.0,994.0,1492.0,19612.0,6363.0,1179.0,14926.0,21470.0,42500.0,3488.0,1000.0,1195.0,8314.0,678.0,4805.0,4488.0,1.071,0.303,0.404,0.509,0.913,0.369,0.088,0.459,0.012,0.178,0.124,0.054,0.695
2020,2019-20,div1,124770.0,102670.0,23212.0,29669.0,5808.0,953.0,2274.0,19787.0,5965.0,1390.0,15787.0,25706.0,44197.0,4152.0,1177.0,984.0,9035.0,794.0,5007.0,5278.0,0.949,0.289,0.398,0.519,0.917,0.361,0.084,0.442,0.018,0.206,0.127,0.079,0.614
2020,2019-20,div2,57171.0,46871.0,10662.0,13347.0,2697.0,449.0,935.0,9005.0,3078.0,646.0,7388.0,11514.0,19732.0,1980.0,528.0,404.0,4081.0,268.0,2301.0,2543.0,0.905,0.285,0.397,0.508,0.905,0.355,0.086,0.447,0.016,0.201,0.129,0.072,0.642
2020,2019-20,div3,22737.0,18693.0,4443.0,5600.0,1124.0,219.0,328.0,3787.0,1162.0,202.0,2957.0,4448.0,8141.0,713.0,199.0,175.0,1671.0,118.0,801.0,740.0,1.082,0.3,0.408,0.525,0.933,0.373,0.095,0.46,0.014,0.196,0.13,0.066,0.665
2021,2020-21,div1,285561.0,235066.0,57982.0,71588.0,14213.0,2170.0,7634.0,50765.0,12588.0,2559.0,35912.0,56798.0,113024.0,9958.0,2845.0,1780.0,24017.0,1935.0,12267.0,13879.0,0.884,0.305,0.411,0.583,0.994,0.369,0.088,0.458,0.027,0.199,0.126,0.073,0.632
2021,2020-21,div2,185436.0,152105.0,37314.0,45462.0,8951.0,1338.0,4232.0,32017.0,9533.0,1884.0,23219.0,36723.0,69759.0,6928.0,1836.0,1348.0,14521.0,1062.0,7510.0,8165.0,0.92,0.299,0.408,0.554,0.962,0.365,0.085,0.463,0.023,0.198,0.125,0.073,0.632
2021,2020-21,div3,80260.0,66571.0,15654.0,19970.0,3905.0,600.0,1494.0,13354.0,3692.0,734.0,9975.0,15322.0,29546.0,2409.0,694.0,611.0,5999.0,446.0,4009.0,4325.0,0.927,0.3,0.403,0.534,0.937,0.366,0.086,0.459,0.019,0.191,0.124,0.067,0.651
2022,2021-22,div1,323604.0,266904.0,63517.0,80801.0,16097.0,2413.0,7786.0,55764.0,14412.0,3142.0,39405.0,64277.0,125073.0,11490.0,3486.0,2319.0,26296.0,2056.0,14964.0,15818.0,0.946,0.303,0.407,0.567,0.974,0.368,0.087,0.45,0.024,0.199,0.122,0.077,0.613
2022,2021-22,div2,228960.0,189166.0,44307.0,56355.0,11078.0,1673.0,4673.0,38165.0,11756.0,2356.0,27746.0,43846.0,84771.0,8275.0,2212.0,1561.0,17424.0,1241.0,9407.0,10023.0,0.939,0.298,0.403,0.54,0.9430000000000001,0.362,0.085,0.452,0.02,0.192,0.121,0.071,0.633
2022,2021-22,div3,108389.0,89641.0,21966.0,27365.0,5394.0,943.0,1763.0,18812.0,6121.0,1091.0,13480.0,20414.0,39916.0,3447.0,1056.0,765.0,8100.0,530.0,5351.0,5594.0,0.957,0.305,0.409,0.536,0.9450000000000001,0.374,0.092,0.475,0.016,0.188,0.124,0.064,0.66
2023,2022-23,div1,206330.0,162793.0,53630.0,56642.0,11755.0,1424.0,5940.0,44604.0,13972.0,2522.0,27702.0,33071.0,89057.0,11218.0,2526.0,2091.0,19119.0,1210.0,8509.0,7347.0,1.158,0.348,0.463,0.665,1.1280000000000001,0.401,0.098,0.532,0.029,0.16,0.134,0.026,0.838
2023,2022-23,div2,124326.0,97574.0,30916.0,32621.0,6683.0,948.0,3025.0,27110.0,7327.0,1236.0,18266.0,20499.0,50270.0,5906.0,1668.0,912.0,10656.0,456.0,4100.0,4845.0,0.846,0.334,0.457,0.624,1.081,0.391,0.098,0.519,0.024,0.165,0.147,0.018,0.891
2023,2022-23,div3,69912.0,55511.0,19777.0,20866.0,4301.0,981.0,1513.0,16564.0,5603.0,790.0,9810.0,9366.0,31654.0,3145.0,944.0,502.0,6795.0,243.0,2298.0,2897.0,0.793,0.376,0.484,0.693,1.177,0.425,0.13,0.565,0.022,0.134,0.14,-0.006,1.047
2024,2023-24,div1,39605.0,31072.0,9832.0,10552.0,2175.0,335.0,953.0,8459.0,2553.0,365.0,6015.0,6678.0,16253.0,1715.0,522.0,281.0,3463.0,233.0,1617.0,1651.0,0.979,0.34,0.462,0.635,1.097,0.401,0.102,0.512,0.024,0.169,0.152,0.017,0.901
